id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
1,US,"Aromas of ripe blackberry, cedar, and vanilla lead to a full-bodied palate with firm tannins and a lingering oaky finish. Classic Napa Cabernet character.",Reserve,91,28,California,Napa Valley,,Kerin O’Keefe,@kerinokeefe,Oakridge Reserve Cabernet Sauvignon 2018,Cabernet Sauvignon,Oakridge
2,France,"Bright citrus and green apple with a chalky minerality. Crisp acidity and a clean, saline finish make this a textbook Chablis.",,90,32,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Lefèvre Chablis 2019,Chardonnay,Domaine Lefèvre
3,Italy,"Intense cherry and leather with dried herbs. Medium-bodied Sangiovese showing dusty tannins and a savory Tuscan finish.",,89,22,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello Rosso Chianti Classico 2017,Sangiovese,Castello Rosso
4,US,"Lush tropical fruit—pineapple and mango—balanced by buttery oak and soft acidity. Easy-drinking California Chardonnay.",Estate,88,18,California,Sonoma Coast,,Virginie Boone,@vboone,Pacific Crest Estate Chardonnay 2020,Chardonnay,Pacific Crest
5,Argentina,"Dark plum and black pepper with a hint of graphite. Malbec with juicy mid-palate and smooth, ripe tannins.",Reserve,92,24,Mendoza,Mendoza,,Michael Schachner,@wineschach,Andes Peak Reserve Malbec 2019,Malbec,Andes Peak
6,Spain,"Red berry jam, spice, and a touch of toast. Tempranillo that is approachable now with gentle oak and soft structure.",Crianza,87,15,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodega Sol Crianza 2018,Tempranillo,Bodega Sol
7,US,"Fresh strawberry and watermelon with a hint of rose petal. Dry, crisp Pinot Noir Rosé perfect for warm evenings.",,86,14,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine,Riverbend Rosé of Pinot Noir 2021,Rosé,Riverbend
8,New Zealand,"Zesty lime, gooseberry, and passion fruit with a grassy edge. High-acid Sauvignon Blanc, vibrant and refreshing.",,90,17,Marlborough,Marlborough,,Joe Czerwinski,@JoeCz,Cloudy Bay Track Sauvignon Blanc 2021,Sauvignon Blanc,Cloudy Bay Track
9,France,"Blackcurrant and violet with fine-grained tannins. Elegant Left Bank Bordeaux blend showing cedar and graphite.",,93,45,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Merlot-Cabernet Pauillac 2016,Bordeaux-style Red Blend,Château Merlot-Cabernet
10,US,"Ripe peach and honeysuckle with residual sweetness balanced by lively acidity. Off-dry Riesling for spicy food.",,88,16,Washington,Columbia Valley,,Sean P. Sullivan,@wawinereport,Cascade Slope Riesling 2020,Riesling,Cascade Slope
11,Portugal,"Stewed blackberry, fig, and baking spice. Full-bodied Douro red with firm structure and a long, warm finish.",,91,26,Douro,Douro,,Roger Voss,@vossroger,Quinta do Vale Douro Tinto 2015,Portuguese Red,Quinta do Vale
12,Italy,"Lemon zest, almond, and white flowers. Light Pinot Grigio with crisp acidity and a clean mineral close.",,85,12,Northeastern Italy,Venezie,,Kerin O’Keefe,@kerinokeefe,Villa Bianca Pinot Grigio 2021,Pinot Grigio,Villa Bianca
13,US,"Smoky cherry, cola, and forest floor. Cool-climate Pinot Noir with silky texture and bright red fruit.",,92,38,California,Russian River Valley,,Virginie Boone,@vboone,Fog Line Pinot Noir 2018,Pinot Noir,Fog Line
14,Australia,"Ripe black cherry and eucalyptus with chocolate oak. Bold Shiraz built for steak night.",,90,20,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Outback Ridge Shiraz 2017,Shiraz,Outback Ridge
15,Germany,"Green apple, slate, and petrol notes emerging. Bone-dry Riesling with laser acidity and long mineral finish.",Trocken,91,23,Mosel,Mosel,,Anna Lee C. Iijima,,Mosel Stein Trocken Riesling 2019,Riesling,Mosel Stein
